date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2021-01-01 00:00:00,20.4,18.5,25.7,,,,13.2,,1015.9,
2021-01-02 00:00:00,19.1,17,26.1,,,,9.6,,1016.2,
2021-01-03 00:00:00,18.4,16,22.2,,,,12.2,,1015.9,
2021-01-04 00:00:00,19.8,15.6,25,,,,10.1,,1015.2,
2021-01-05 00:00:00,21.8,18.3,28,,,,9.9,,1013.6,
2021-01-06 00:00:00,23.1,19.9,28.7,,,,12.4,,1012.6,
2021-01-07 00:00:00,24.1,20.4,30,,,,8.7,,1012.6,
2021-01-08 00:00:00,22.3,19.7,28,,,,9.1,,1013.3,
2021-01-09 00:00:00,21.7,19.1,25.9,,,,10,,1014.8,
2021-01-10 00:00:00,22.1,19.7,28,,,,9.8,,1015.6,
2021-01-11 00:00:00,22.9,20,30,,,,10.9,,1015.2,
2021-01-12 00:00:00,24,20.7,31.2,,,,8.6,,1014.3,
2021-01-13 00:00:00,21.6,19,26.4,,,,13.6,,1016.2,
2021-01-14 00:00:00,19.4,18,21.5,,,,14.9,,1017,
2021-01-15 00:00:00,21.2,18.1,26,,,,11.8,,1015.2,
2021-01-16 00:00:00,21.8,18.8,26,,,,12.4,,1012.1,
2021-01-17 00:00:00,22.4,20,26.2,,,,16.5,,1010.7,
2021-01-18 00:00:00,19.7,8,25,,,,9.2,,1013,
2021-01-19 00:00:00,18.5,17.6,22,,,,9.8,,1017.2,
2021-01-20 00:00:00,19.3,17.7,22.6,,,,9.5,,1017.9,
2021-01-21 00:00:00,20,17.7,23.6,,,,11.4,,1018.8,
2021-01-22 00:00:00,20.4,18,24,,,,8.1,,1020.7,
2021-01-23 00:00:00,20.7,18.4,24.3,,,,8.4,,1019.5,
2021-01-24 00:00:00,20.1,18.4,23.9,,,,6.1,,1017.2,
2021-01-25 00:00:00,20.6,18.5,24.4,,,,6,,1015,
2021-01-26 00:00:00,22,18.8,26.7,,,,8.4,,1014.1,
2021-01-27 00:00:00,23.4,20,29,,,,10.6,,1012.5,
2021-01-28 00:00:00,22.1,19,27,,,,8.6,,1011.8,
2021-01-29 00:00:00,22,19.8,26,,,,10.4,,1012.6,
2021-01-30 00:00:00,21.6,19.9,27.2,,,,9.3,,1014.3,
2021-01-31 00:00:00,23.1,20,28.6,,,,9.9,,1014.2,
2021-02-01 00:00:00,23.1,19.9,29.1,,,,7.8,,1013.4,
2021-02-02 00:00:00,23.5,20,30.4,,,,6.4,,1014.3,
2021-02-03 00:00:00,24.5,20,31,,,,5.6,,1014.9,
2021-02-04 00:00:00,24.3,21,29.2,,,,10.4,,1011.3,
2021-02-05 00:00:00,21.5,17,27,,,,8.5,,1009.8,
2021-02-06 00:00:00,19.8,16.6,25,,,,8.7,,1012.4,
2021-02-07 00:00:00,19.1,15,24,,,,8.6,,1015.8,
2021-02-08 00:00:00,19.4,15.6,25,,,,12.1,,1016.5,
2021-02-09 00:00:00,19.5,15.6,27.8,,,,13.3,,1017.1,
2021-02-10 00:00:00,19.8,15.9,27,,,,10.3,,1016.8,
2021-02-11 00:00:00,19.2,16,24.4,,,,9.2,,1017,
2021-02-12 00:00:00,20,17,26,,,,8.2,,1015.9,
2021-02-13 00:00:00,21.5,17.9,27,,,,8.1,,1013.4,
2021-02-14 00:00:00,21.6,17,26.1,,,,10.1,,1011.8,
2021-02-15 00:00:00,20.9,17,26,,,,6.8,,1011,
2021-02-16 00:00:00,22.2,17.9,27.6,,,,7.2,,1009.4,
2021-02-17 00:00:00,22.5,18.1,28,,,,6.3,,1009.4,
2021-02-18 00:00:00,22.6,17.8,31.2,,,,5,,1010.1,
2021-02-19 00:00:00,21.6,16,28,,,,6.1,,1013,
2021-02-20 00:00:00,21.3,18,27.9,,,,7.2,,1016.4,
2021-02-21 00:00:00,21.4,18,27,,,,9.1,,1017.8,
2021-02-22 00:00:00,22.3,17,29.5,,,,9.5,,1017.2,
2021-02-23 00:00:00,24,18,32.4,,,,9.8,,1015.2,
2021-02-24 00:00:00,21.9,19,26.6,,,,9,,1015.5,
2021-02-25 00:00:00,20,18,24.4,,,,11.2,,1014.8,
2021-02-26 00:00:00,19.2,17.4,22,,,,13.4,,1015.6,
2021-02-27 00:00:00,18.7,17,21.5,,,,13.4,,1017.5,
2021-02-28 00:00:00,18.8,17.5,22.5,,,,8,,1017,
2021-03-01 00:00:00,19.9,18,24.8,,,,5.2,,1015.5,
2021-03-02 00:00:00,19.7,17.7,26,,,,6.4,,1016.3,
2021-03-03 00:00:00,20.7,17,26,,,,6.5,,1017.1,
2021-03-04 00:00:00,21,18,23.8,,,,10.6,,1014.1,
2021-03-05 00:00:00,20.6,18.6,24.5,,,,10.7,,1008.8,
2021-03-06 00:00:00,20.8,17.8,26,,,,6.2,,1011.4,
2021-03-07 00:00:00,19.8,18,23.9,,,,7.8,,1014.7,
2021-03-08 00:00:00,20.7,17,26,,,,8.4,,1015.2,
2021-03-09 00:00:00,19.6,15,24,,,,9.7,,1013.3,
2021-03-10 00:00:00,19.4,15,27.8,,,,7.4,,1012.1,
2021-03-11 00:00:00,21,16,28,,,,10.8,,1013.1,
2021-03-12 00:00:00,22.3,18.6,30.7,,,,9.9,,1015.3,
2021-03-13 00:00:00,22.5,19,28,,,,9.2,,1016.7,
2021-03-14 00:00:00,23.6,19.5,30,,,,8.2,,1017.1,
2021-03-15 00:00:00,22.3,18,27,,,,6.1,,1016.2,
2021-03-16 00:00:00,22.2,18,28,,,,7.9,,1015.3,
2021-03-17 00:00:00,22.9,19,28,,,,7.7,,1013,
2021-03-18 00:00:00,21.9,19,27,,,,8.7,,1013.8,
2021-03-19 00:00:00,19.9,18,26.9,,,,10.5,,1017.3,
2021-03-20 00:00:00,21.4,18,27,,,,8.4,,1020.1,
2021-03-21 00:00:00,24.2,20,32.1,,,,5.7,,1019.5,
2021-03-22 00:00:00,22.4,20,26.3,,,,7.2,,1018.9,
2021-03-23 00:00:00,22.2,20,29.3,,,,6.8,,1018.1,
2021-03-24 00:00:00,22.4,19,28,,,,7.2,,1018.1,
2021-03-25 00:00:00,22.2,19,26,,,,8.3,,1018.1,
2021-03-26 00:00:00,22.5,18,31.8,,,,7.9,,1017.3,
2021-03-27 00:00:00,23.1,18,29.2,,,,8.5,,1014.4,
2021-03-28 00:00:00,23.1,19,28,,,,9.5,,1012.9,
2021-03-29 00:00:00,22.4,19,27.6,,,,9.7,,1012.8,
2021-03-30 00:00:00,19.4,17,23,,,,7.6,,1012.1,
2021-03-31 00:00:00,17.9,13,24.3,,,,6.5,,1012.5,
2021-04-01 00:00:00,17,12.7,23.3,,,,6.7,,1014.1,
2021-04-02 00:00:00,17.8,13.7,23,,,,8.4,,1018,
2021-04-03 00:00:00,18.1,15,26.2,,,,9.6,,1019.2,
2021-04-04 00:00:00,18.2,16,22,,,,9.2,,1020,
2021-04-05 00:00:00,18.4,16,22,,,,11.2,,1019.9,
2021-04-06 00:00:00,18.4,15.8,23.4,,,,7.3,,1019.1,
2021-04-07 00:00:00,17.7,16,20,,,,12.4,,1021.5,
2021-04-08 00:00:00,18.8,15,23.9,,,,10.5,,1022.7,
2021-04-09 00:00:00,20,15,28.3,,,,7.8,,1021.9,
2021-04-10 00:00:00,20.7,15,26,,,,5,,1017.3,
2021-04-11 00:00:00,21.6,15,27,,,,10.1,,1017,
2021-04-12 00:00:00,20.8,17,25,,,,7.3,,1017.5,
2021-04-13 00:00:00,17.5,15,20,,,,9.9,,1021.5,
2021-04-14 00:00:00,16.8,14,20,,,,8,,1021.6,
2021-04-15 00:00:00,17.2,14.9,21,,,,8.5,,1020.4,
2021-04-16 00:00:00,18.5,14,25,,,,7.2,,1018.1,
2021-04-17 00:00:00,18,16,20,,,,7.3,,1016.9,
2021-04-18 00:00:00,17.5,15,21,,,,9.1,,1017.4,
2021-04-19 00:00:00,17,14.5,22,,,,12.5,,1019.4,
2021-04-20 00:00:00,16.6,13.9,20,,,,12.7,,1020.6,
2021-04-21 00:00:00,15.6,14,20,,,,13.3,,1020.5,
2021-04-22 00:00:00,15.5,13,18,,,,11.1,,1020.4,
2021-04-23 00:00:00,15.9,11,22,,,,9.5,,1019.5,
2021-04-24 00:00:00,17.2,14,22,,,,8,,1017.4,
2021-04-25 00:00:00,17.8,14,21,,,,10,,1015.7,
2021-04-26 00:00:00,17.3,13,23,,,,9.5,,1016.5,
2021-04-27 00:00:00,16.6,14.7,22,,,,12.1,,1017.6,
2021-04-28 00:00:00,16.4,14,22,,,,8,,1019.7,
2021-04-29 00:00:00,14.6,11,18,,,,9.5,,1024.2,
2021-04-30 00:00:00,14.8,12.5,19,,,,11,,1025.2,
2021-05-01 00:00:00,15.6,11,20,,,,8.8,,1024,
2021-05-02 00:00:00,17.8,13,23,,,,7.5,,1022.6,
2021-05-03 00:00:00,19,12,26,,,,5.4,,1020.9,
2021-05-04 00:00:00,19.8,13,26,,,,4.1,,1019.7,
2021-05-05 00:00:00,19.5,13,26,,,,9.1,,1018.8,
2021-05-06 00:00:00,18.1,12,25,,,,12.3,,1017.3,
2021-05-07 00:00:00,12.8,11,14.2,,,,12.1,,1022.4,
